letter,tags,headword,eng,rus,forms,variants
,"n
сущ.","меь
ˈmeh","iron
lock","железо
замок",миьре,
,"n
сущ.","меьлука́н
mehluˈkan",file,напильник,меьлуканте,
,"n
сущ.","миг
ˈmig",ice,лёд,"миган-
мигбе",
,"v cls
гл. кл.","миг берта́ра
ˌmig berˈtara",to ice up,леденеть,"~ бетара
~ бетур",
,"adj cls
прил. кл.","миг бяръи́в
ˌmig bærˈʔiv",ice cold,ледяной,,
,"n
сущ.","ми́ғо
ˈmiʁo",alder,ольха,,
,"n
сущ.","мида́р
miˈdar",medal,медаль,мидарте,
,"adj
прил.","миж
ˈmiʒ",tart,терпкий,,
,"n
сущ.","миже́н
miˈʒen",dream,сон,миженте,
,"v cls
гл. кл.","миже́н кабирцца́ра
miˌʒen kabirˈtsːara",to see in dreams,сниться,"~ кабиццара
~ кабиццур",
,"n
сущ.","мижиҡьа́р
miʒiˈqʼar",wood sorrel,кислица,,
,"n
сущ.","миз
ˈmiz",measure,мера,,
,"n
сущ.","мизде́ҳ
mizˈdex",divine grace,божья милость,,
,"n
сущ.","мизе́н
miˈzen",stilyard,безмен,мизенте,
,"n
сущ.","ми́ко
ˈmiko",fingernail,ноготь,"микон-
микуппе",
,"n
сущ.","ми́кко
ˈmikːo",oak,дуб,,
,"n
сущ.","миҡ
ˈmiq",filtration clay,фильтрационная глина,,
,"n
сущ.","миҡе́р
miˈqer",chest,грудь,"миҡрин-
миҡинде",
,"adj
прил.","миҡми́ғ
miqˈmiʁ",stingy,скупой,,
,"n
сущ.","миҡренгу́ла
miqrenˈgula",girth,подпруга,"миҡренгулал-
миҡренгулабе",
,"n
сущ.","миҡри́ҡ
miqˈriq",headpiece,насадка,,
,"n
сущ.","миҡри́нла ҡьурҡьу́л
miqˌrinla qʼurˈqʼul",rib cage,грудная клетка,,
,"n
сущ.","миҡҡ
ˈmiqː",wedding,свадьба,миҡҡре,
,"n
сущ.","миҡьо́ра
miˈqʼora",young hen,молодая курица,миҡьунде,
,"n
сущ.","миле́рз
miˈlerz",rowan,рябина,,
,"n
сущ.","мили́ць
miˈlitsʼ",policeman,полицейский,милицье,
,"n
сущ.","милла́т
milˈlat",nation,нация,,
,"num
числ.","миллу́м
milˈlum",million,миллион,,
,"n
сущ.","милля́р
milˈlær",billion,миллиард,,
,"n
сущ.","миля́ҡҡ
miˈlæqː",worm,червь,милҡҡвя,
,"n
сущ.","мимба́р
mimˈbar",pulpit,кафедра,мимбарте,
,"n
сущ.","мимми́
mimˈmi",doll,кукла,мимре,
,"adj
прил.","ми́на
ˈmina",original,исконный,,
,"v cls
гл. кл.","мина́ кабирьо́ра
miˌna kabirˈhora",to take root,укореняться,"~ кабиьора
~ кабиьяв",
,"n
сущ.","мина́ра
miˈnara",beacon,маяк,"минарал-
минарте",
,"n
сущ.","минда́р
minˈdar",saddle cushion,седельная подушка,,
,"n
сущ.","минду́кь
minˈdukʼ",cushion,маленькая подушка,миндукье,
,"n
сущ.","минна́т бира́ра
minˌnat biˈrara",to persuade,уговаривать,"миннат барара
миннат барив",
,"n
сущ.","мину́т
miˈnut",minute,минута,минуте,
,"n
сущ.","мирғя́
mirˈʁæ",stick,палка,"мирғян-
мирғяппе",
,,"мире́кко
miˈrekːo",murego,мюрего,,
,"n
сущ.","ми́рже
ˈmirʒe",thirst,жажда,,
,"n
сущ.","миркки́з
mirˈkːiz",black ice,гололёд,,
,"n
сущ.","ми́рҡе
ˈmirqe","bee
beehive","пчела
улей",мирҡин-,
,"n
сущ.","ми́рҡе му́ра
ˌmirqe ˈmura",fenugreek,пажитник,,
,"n
сущ.","мирҡи́нла ше́ле
mirˌqinla ˈʃele",honeycomb,сота,,
,"n
сущ.","ми́рҡьал
ˈmirqʼal",wormwood,полынь,мирҡьле-,
,"n
сущ.","ми́рчьел
ˈmirtʃʼel",wax,воск,мирчьле-,
,"n
сущ.","ми́са
ˈmisa",maw,"ротовая полость, пасть","мисан
мисуппе",
,"n
сущ.","миса́л
miˈsal",example,пример,мисалте,
,"n
сущ.","мисангу́ла
misanˈgula",bit (horse),удила,"мисангулал-
мисангулабе",
,"n
сущ.","мисе́
miˈsːe",gold,золото,,
,"n
сущ.","миси́
miˈsːi",ground,"глинянный пол, земля",мисин-,
,"n
сущ.","мискки́н
misˈkːin",poor,бедняк,мисккинте,
,"n
сущ.","мисккинде́ҳ
miskːinˈdex",poverty,бедность,,
,"n
сущ.","мисма́р
misˈmar",big nail,большой гвоздь,,
,"n
сущ.","мисриъя́н
misriˈʔæn",land animal,наземное животное,мисриъне,
,"n
сущ.","мистти́кь
misˈtːikʼ",mosque,мечеть,"мисттикьан
мисттикье",
,"n
сущ.","ми́тру
ˈmitru",meter,метр,"митрул-
митрубе",
,"n
сущ.","миҳ
ˈmix",sickle,серп,"миҳан-
миҳре",
,"n
сущ.","миҳтта́р
mixˈtːar",penknife,перочинный нож,,
,"n
сущ.","миҳтта́р
mixˈtːar",jackknife,складной нож,,
,"n
сущ.","мицц
ˈmitsː",nettle,крапива,миццан,
,"adj
прил.","мицьи́р
miˈtsʼir",alive,живой,,
,"v cls
гл. кл.","мицьи́р ьабирьо́ра
miˌtsʼir habirˈhora",to revive,оживать,"~ ьабиьора
~ ьабиьяв",
,"n
сущ.","мицьна́т
mitsʼˈnat",dismemberment,расчленение,,
,"n
сущ.","миче́р
miˈtʃer",cornbread,кукурузный хлеб,"мичери-
мичерте",
,"n
сущ.","мичи́
miˈtʃi",millet,просо,,
,"n
сущ.","мичиғи́ч
mitʃiˈʁitʃ",chechnya,чечня,,
,"n
сущ.","мичи́та
miˈtʃita",cereal crusher,дробильня для крупы,"мичитан
мичитне",
,"n
сущ.","мичче́р
miˈtʃːer",stairs,лестница,"миччре-
миччриппе",
,"n
сущ.","мише́й
miˈʃej",couch grass,пырей,,
,"v cls
гл. кл.","мишя́йть бикьо́ра
miˌʃæjtʼ biˈkʼora",to disturb,беспокоить,,
,"n
сущ.","мишяйтьде́ҳ
miʃæjtʼˈdex",inconvenience,неудобство,,
,"n
сущ.","миьра́м
mihˈram",chamber,камера,миьрамте,
,"intj
межд.","моъ
ˈmoʔ",ha,ха,,
,"n
сущ.","мугу́л
muˈgul",besom,веник,мугле,
,"adj
прил.","муғла́р
muʁˈlar",last,последний,,
,"n
сущ.","мужала́т
muʒaˈlat",cover,обложка,мужалате,
,"n
сущ.","му́за
ˈmuza",vertex,вершина,музуппе,
,"n
сущ.","музе́з
muˈzez",chickweed,звездчатка,,
,"adj
прил.","музи́
muˈzi",sweet,сладкий,,
,"n
сущ.","музи́ ниси́
muˌzi niˈsːi",cottage cheese,творог,,
,"n
сущ.","музиде́ҳ
muziˈdex",sweetness,сладость,,
,"n pl
сущ. мн.","музидеҳе́
muzideˈxe",sweets,сладости,,
,"n
сущ.","музиди́г
muziˈdig",fillet,филе,"музидигу-
музидигбе",
,"adj
прил.","музи́кь
muˈzikʼ",sweetish,сладковатый,,
,"n
сущ.","мукку́р
muˈkːur",roof roller,каток для крыши,муккурте,
,"n
сущ.","му́ҡя
ˈmuqæ",oat,овёс,,
,"n
сущ.","муҡя́кка
muˈqækːa",stye,ячмень глаз,,
,"n
сущ.","му́ҡҡя
ˈmuqːæ",hanger peg,"вешалка, колышек","муҡҡян-
муҡҡяппе",
,"n
сущ.","муҡь
ˈmuqʼ",back,спина,муҡьре,
,"v cls
гл. кл.","муҡь цабурҡа́ра
ˌmuqʼ tsaburˈqara",to turn away,отворачиваться,"~ цабяҡара
~ цабяҡив",
,"n
сущ.","муҡьа́ра
muˈqʼara",lamb,ягнёнок,"муҡьран-
муҡьунде",
,"n
сущ.","му́ҡьла ли́кка
ˌmuqʼla ˈlikːa",backbone,позвоночник,,
,"n
сущ.","му́ҡьла чьа́ла
ˌmuqʼla ˈtʃʼala",vertebra,позвонок,,
,"n
сущ.","муҡьлу́ҡь
muqʼˈluqʼ",gutter,желоб,муҡьлуҡье,
,"n
сущ.","муҡьру́ць
muqʼˈrutsʼ",young heifer,молодая тёлка,муҡьруцье,
,"n
сущ.","мулк
ˈmulk",domain,владение,,
,"n
сущ.","мулпя́ят
mulˈpææt",point,смысл,,
,"adj
прил.","мулпя́ят акко́р
mulˌpææt aˈkːor",pointless,бессмысленный,,
,"n
сущ.","му́ра
ˈmura","hay
hayfield
meadow","сено
сенокос
луг","муран-
мурбе",
,"n
сущ.","мура́д
muˈrad",goal,цель,мураде,
,"n
сущ.","мургу́л
murˈgul",man,мужчина,миргле,
,"n
сущ.","муркку́л
murˈkːul",meadow,луг,мирккле,
,"n
сущ.","муркку́че
murˈkːutʃe",rake,грабли,мурккучне,
,"n
сущ.","муркь
ˈmurkʼ",allergy,аллергия,,
,"adj
прил.","мурс
ˈmurs",sober,трезвый,,
,"adj
прил.","муру́г
muˈrug",thirsty,жаждущий,,
,"n
сущ.","муругде́ҳ
murugˈdex",thirstiness,жаждание,,
,"adj
прил.","мурҳ
ˈmurx",deep,глубокий,,
,"n
сущ.","мурҳде́ҳ
murxˈdex",depth,глубина,,
,"n
сущ.","мурць
ˈmurtsʼ",thread,нить,мирцье,
,"n
сущ.","мурье́
murˈhe","jewelry
gold","драгоценности
золото",мурьел-,
,"n
сущ.","мурье́ ранг
murˌhe ˈrang",golden,золотой,,
,"n
сущ.","му́са
ˈmusːa",place,место,"мусан
мусуппе",
,"n
сущ.","мусиба́т
musiˈbat",disaster,катастрофа,мусибате,
,"post
посл.","мусна́
musˈna",instead,вместо,,
,"n
сущ.","мустти́
musˈtːi",boiled wine,кипячёное вино,,
,"n
сущ.","мутьру́с
mutʼˈrus",razor,бритва,мутьрусе,
,"n
сущ.","мутья́ъ
muˈtʼæʔ",obedience,послушность,,
,"adj
прил.","мутья́ъ акко́р
muˌtʼæʔ aˈkːor",unruly,непокорный,,
,"v cls
гл. кл.","мутья́ъ бира́ра
muˌtʼæʔ biˈrara",to subdue,подчинять,"~ барара
~ барив",
,"v cls
гл. кл.","мутья́ъ бирьо́ра
muˌtʼæʔ birˈhora",to confess,признаваться,"~ биьора
~ биьяв",
,"adj
прил.","муҳра́в
muxˈrav",moist,влажный,,
,"n
сущ.","муцру́кь
mutsˈrukʼ",porch,крыльцо,муцрукье,
,"n
сущ.","му́цца
ˈmutsːa",quest,"поиск, квест",,
,"v cls
гл. кл.","му́цца бирга́ра
ˌmutsːa birˈgara",to seek,быть в поисках,"~ бигара
~ бижив",
,"n
сущ.","муцци́
muˈtsːi",arrowhead,наконечник,,
,"n
сущ.","муцьу́р
muˈtsʼur",beard,борода,муцьурте,
,"n
сущ.","муцьу́р ҡьар
muˌtsʼur ˈqʼar",horsetail,хвощ,,
,"adj
прил.","мучуьа́р
mutʃuˈhar",crumbly,крошащийся,,
,"n
сущ.","муштта́р
muʃˈtːar",envy,зависть,,
,"n
сущ.","муштту́кь
muʃˈtːukʼ",mouthpiece,мундштук,,
,"n
сущ.","мушуьа́р
muʃuˈhar",agreement,договор,,
,"n
сущ.","муьла́т
muhˈlat",patience,терпение,,
,"n
сущ.","муьру́кь
muhˈrukʼ",prop,подпорка,муьрукье,
,"intj
межд.","мь
mh",mhm,мм,,
,"n
сущ.","мяв
ˈmæv",meow,мяукание,,
,"n
сущ.","мявка́
mævˈka",cunning woman,хитрая женщина,мявкне,
,"n
сущ.","мя́вҡье
ˈmævqʼe",stirring stick,палка-мешалка,,
,"post
посл.","мяғла́
mæˈʁla",behind,"за, позади",,
,"adv
нар.","мяғла́-сағли́
mæʁˌla-saʁˈli",residual,остаточно,,
,"v cls
гл. кл.","мяғла́ барта́ра
mæʁˌla barˈtara",to reserve,"резервировать, откладывать","~ батара
~ батур",
,"v cls
гл. кл.","мяғла́ биҡҡа́ра
mæʁˌla biˈqːara",to postpone,откладывать,"~ буҡҡара
~ буҡҡив",
,"v cls
гл. кл.","мя́ғла бурца́ра
ˌmæʁla burˈtsara",to conceal,утаивать,"~ буцара
~ буцив",
,"v cls
гл. кл.","мяғла́ кадирҳа́ра
mæʁˌla kadirˈxara",to stock up,запасать,"~ кадиҳара
~ кадишив",
,"adv
нар.","мяғле́л
mæʁˈlel",later,позже,,
,"adj
прил.","мяғря́ғ
mæʁˈræʁ","backward
wrong","обратный, вспять
неправильный",,
,"v cls
гл. кл.","мяғря́ғ бира́ра
mæʁˌræʁ biˈrara",to reverse,повернуть вспять,"~ барара
~ барив",
,"v cls
гл. кл.","мя́ғряғ бирҳа́ра
ˌmæʁræʁ birˈxara",to retreat,"пятиться, отступать","~ биҳара
~ бишив",
,"n
сущ.","мяғряға́н
mæʁræˈʁan",klutz,недотёпа,мяғряғанте,
,"v cls
гл. кл.","мяғя́ бирка́ра
mæˌʁæ birˈkara",to lag,отставать,"~ бикара
~ бичив",
,"n pl
сущ. мн.","мяғякле́
mæʁækˈle",leftovers,остатки,,
,"n
сущ.","мяғя́ла
mæˈʁæla",bagel,бублик,,
,"adj
прил.","мяғя́с
mæˈʁæs",timid,робкий,,
,"adj
прил.","мяж
ˈmæʒ",corpulent,тучный,,
,"n
сущ.","мяжни́кк
mæʒˈnikː",wallet,кошелек,"мяжниккан
мяжникке",
,"n
сущ.","мяз
ˈmæz",ointment,мазь,,
,"n
сущ.","мя́ин
ˈmæin",hawthorn,боярышник,,
,"n
сущ.","мяй
ˈmæj",may,май,,
,"n
сущ.","мяйкка́
mæjˈkːa",sleeveless shirt,майка,"мяйккан
мяйккне",
,"n
сущ.","мя́йла ме́тье
ˌmæjla ˈmetʼe",seed oil,растительное масло,,
,"n
сущ.","мяйси́
mæjˈsi",jurab,джураб,"мяйсин-
мяйсне",
,"post
посл.","мя́ҡье
ˈmæqʼe",nearby,рядом,,
,"post
посл.","мя́ҡьил
ˈmæqʼil",by,мимо,,
,"n
сущ.","мяҡьямажа́
mæqʼæmaˈʒa",all possessions,все имущество,,
,"n
сущ.","мя́ла
ˈmæla",window,окно,мялбе,
,"n
сущ.","мялъу́м
mælˈʔum",serpent,змей,мялъумте,
,"n
сущ.","мяммя́м
mæmˈmæm",food,еда,,
,"n
сущ.","мя́мяр
ˈmæmær",blackberry,ежевика,,
,"n
сущ.","мяни́
mæˈni",ewe,овца,,
,"adj n
прил. сущ.","мяр
ˈmær",baleful (look),недобрый (взгляд),,
,"n adj
сущ. прил.","мярғу́ть
mærˈʁutʼ","wild cat
ragged","дикий кот
косматый",мярғутье,
,"n
сущ.","мяркка́
mærˈkːa",brand,марка,"мярккан-
мярккне",
,"n
сущ.","мярмяри́кк
mærmæˈrikː",marmalade,мармелад,мярмярикке,
,"n
сущ.","мярт
ˈmært",march,март,,
,"adj
прил.","мя́ртта
ˈmærtːa",on horseback,"верхом, в седле",,
,"v cls
гл. кл.","мя́ртта бирга́ра
ˌmærtːa birˈgara",to saddle,седлать,"~ бигара
~ бижив",
,"n
сущ.","мя́рцал
ˈmærtsal",wall,"стена, кладка","мярцле-
мярцлиппе",
,"n
сущ.","мярцлиъя́
mærtsliˈʔæ",mason,каменщик,мярцлиъне,
,"n pl
сущ. мн.","мя́рцца
ˈmærtsːa",sheep,барашка,,
,"n
сущ.","мяршуткка́
mærʃutˈkːa",minibus,микроавтобус,"мяршутккан-
мяршутккне",
,"n
сущ.","мя́та
ˈmæta",game,игра,мятне,
,"n
сущ.","мяту́
mæˈtu",crap,чепуха,,
,"n
сущ.","мятяцци́кк
mætæˈtsːikː",motorbike,мотоцикл,мятяццикке,
,"n
сущ.","мя́тьа
ˈmætʼa",scrap,клочок,"мятьан-
мятьре",
,"adj
прил.","мятьи́кь
mæˈtʼikʼ",naked,голый,,
,"n
сущ.","мятьушкка́
mætʼuʃˈkːa",russian woman,русская женщина,мятьушккне,
,"n
сущ.","мяча́й
mæˈtʃaj",rawhide shoe,сыромятная обувь,мячайте,
,"v cls
гл. кл.","мячьмя́чь ьабира́ра
mætʃʼˌmætʃʼ habiˈrara",to crease,мять,"~ ьабарара
~ ьабарив",
,"v cls
гл. кл.","мяш бирара
ˈmæʃ",to flaunt,хвастать,"~ барара
~ барив",
,"v cls
гл. кл.","мяш бирьо́ра
ˌmæʃ birˈhora",to covet,зариться,"~ биьора
~ биьяв",
,"n
сущ.","мяъда́н
mæʔˈdan",buried treasure,клад,мяъданте,
,"adj
прил.","мяълу́м
mæʔˈlum",well-known,общеизвестный,,
,"n
сущ.","мя́ъна
ˈmæʔna",meaning,значение,мяънабе,
,"n
сущ.","мяърака́
mæʔraˈka",gathering,скопление,,
,"n
сущ.","мя́ъя
ˈmæʔæ",egg,яйцо,"мяъян-
милъя",
,"n
сущ.","мяь
ˈmæh",whey,сыворотка,мяьбе,
,"adj
прил.","мяька́м
mæhˈkam",cautious,осторожный,,
,"v cls
гл. кл.","мяька́м бира́ра
mæhˌkam biˈrara",to protect,беречь,"~ барара
~ барив",
,"n
сущ.","мяька́ма
mæhˈkama",region,регион,,
,"n
сущ.","мя́ьле
ˈmæhle",area,область,,
,"adj
прил.","мяьта́л
mæhˈtal",amazing,поразительный,,
,"n
сущ.","мяья́шҡҡала
mæˈhæʃqːala",makhachkala,махачкала,мяьяшҡҡал-,
,"n
сущ.","мяя́л
mæˈæl",nose,нос,"мяялен-
мяялиппе",
,"n
сущ.","мяяле́нла ҡавс
mææˌlenla ˈqavs",nostril,ноздря,,
н,,,,,,
,"adv
нар.","на
ˈna","already
now","уже
теперь",,
,"n
сущ.","наба́р
naˈbar",anchor,якорь,набарте,
,"n
сущ.","нажа́с
naˈʒas",scumbag,подонок,нажасе,
,"n
сущ.","назбали́ш
nazbaˈliʃ",feather pillow,перьевая подушка,назбалише,
,"adj
прил.","нази́к
naˈzik",frail,хилый,,
,"n
сущ.","на́зму
ˈnazmu",poem,поэма,назмурте,
,"n
сущ.","наҡьи́ш
naˈqʼiʃ",pattern,узор,наҡьише,
,"adv
нар.","на́лла
ˈnalla",so far,пока,,
,"adv
нар.","налла́ра
nalˈlara",still,всё ещё,,
,"adv
нар.","на́ллаче
ˈnallatʃe",henceforth,отныне,,
,"n
сущ.","налу́кк
naˈlukː",tax,налог,налукке,
,"n
сущ.","нана́
naˈna",child,ребенок,,
,"n
сущ.","на́нни
ˈnanni",sleep,сон,,
,"n
сущ.","нар
ˈnar",pomegranate,гранат,,
,"adv
нар.","на́ра
ˈnara",again,опять,,
,"n
сущ.","нара́т
naˈrat",pine,сосна,,
,"n
сущ.","нарт
ˈnart",giant,великан,нартре,
,"adj
прил.","нас
ˈnas",bad luck,неудача,,
,"n
сущ.","наскки́
nasˈkːi",sock,носок,"насккин-
насккибе",
,"n
сущ.","на́слу
ˈnaslu",descendant,потомок,наслубе,
,"n
сущ.","нася́ят
naˈsææt",admonition,наставление,,
,"n
сущ.","на́тте
ˈnatːe",terrace,терраса,,
,"n
сущ.","нау́т
naˈut",kerosene,керосин,,
,"v
гл.","наь кулга́на
ˌnah kulˈgana",to get confused,быть в смятении,"~ кугана
~ кугун",
,"n
сущ.","нег
ˈneg",milk,молоко,нигбе,
,"n
сущ.","негдурҡя́н
negdurˈqæn",churn,маслобойка,негдурҡянте,
,"n
сущ.","не́гла ҡьар
ˌnegla ˈqʼar",spurge,молочай,,
,"n
сущ.","негри́
negˈri",black person,чернокожий,негрибе,
,"n
сущ.","нез
ˈnez",louse,вошь,низбе,
,"n
сущ.","некк
ˈnekː",chaff,мякина,неккин-,
,"n
сущ.","нерғ
ˈnerʁ","soup
teardrop","суп
слеза","нерғи-
нирғбе",
,"n
сущ.","нивни́кк
nivˈnikː",diary,дневник,нивникке,
,"n
сущ.","нивра́
nivˈra",babble,лепет,,
,"n
сущ.","низа́м
niˈzam",discipline,дисциплина,,
,"n
сущ.","низбя́ҡҡ
nizˈbæqː",lousy,вшивец,низбяҡҡе,
,"n
сущ.","нийа́т
niˈjat",intention,намерение,,
,"n adj
сущ. прил.","никье́л
niˈkʼel",junior,младший,никьелте,
,"n
сущ.","никьи́л
niˈkʼil",nickel,никель,,
,"n
сущ.","никьна́
nikʼˈna",attention,внимание,,
,"v cls
гл. кл.","никьна́ бирцца́ра
nikʼˌna birˈtsːara",to listen,слушать,"~ биццара
~ биццур",
,"adj
прил.","ни́кьо
ˈnikʼo",small,маленький,,
,"n
сущ.","ни́кьо чьим
ˌnikʼo ˈtʃʼim",half a span,половина пяди,,
,"adv
нар.","ни́кьонне
ˈnikʼonne",shortly,вскоре,,
,"adv
нар.","ни́кьосар
ˈnikʼosar",recently,недавно,,
,"n
сущ.","ниҡҡ
ˈniqː",cave,пещера,ниҡҡре,
,"n
сущ.","ниҡьи́
niˈqʼi",puppy,щенок,"ниҡьин-
ниҡьне",
,"n
сущ.","нинни́
ninˈni",sock,носок (дет.),,
,"pro
мест.","ни́са
ˈnisːa",we,мы,,
,"n
сущ.","ниси́
niˈsːi",cheese,сыр,"нисин-
нисбе",
,"n
сущ.","нисна́
nisˈna",evening,вечер,,
,"n
сущ.","нису́
niˈsːu",cheese sauce,сырный соус,,
,"n
сущ.","нитти́р
niˈtːir",eyebrow,бровь,ниттирбе,
,"n
сущ.","нить
ˈnitʼ",nit,гнида,нитьбе,
,"n
сущ.","ни́ҳла ҡҡа́рҡҡа
ˌnixla ˈqːarqːa",durable stone,прочный камень,,
,"pro
мест.","ни́ҳо
ˈnixːo",we (inclusive),мы все,,
,"pro
мест.","ни́ша
ˈniʃːa",you (plural),вы,,
,"intj
межд.","ноь-ноь
noh-ˈnoh",calling a dog,подзыв собаки,,
,"n adj
сущ. прил.","нуға́й
nuˈʁaj",nogai,"ногаец, ногайский",нуғайте,
,"n
сущ.","нуға́т
nuˈʁat",accent,акцент,нуғате,
,"n
сущ.","нуйяби́р
nujæˈbir",november,ноябрь,,
,"n
сущ.","нуке́р
nuˈker",henchman,приспешник,нукерте,
,"num
числ.","нул
ˈnul",zero,ноль,,
,"n
сущ.","нуми́р
nuˈmir",number,номер,нумирте,
,"n
сущ.","нур
ˈnur",ray,луч,,
,"n
сущ.","нуси́
nuˈsi",daughter-in-law,невестка,нусбе,
,"n
сущ.","нухра́ть
nuχˈratʼ",silver coin,серебрянная монета,нухратье,
,"n
сущ.","нухса́н
nuχˈsan",flaw,недостаток,нухсанте,
,"n
сущ.","нуци́
nuˈtsi",groom,жених,нуцбе,
,"n
сущ.","ну́ьру
ˈnuhru",seal,печать,нуьунде,
,"n
сущ.","няғи́р
næˈʁir",whim,прихоть,няғирте,
,"n
сущ.","няҡҡ
ˈnæqː",hand,рука,"няҡҡу-
няҡҡбе",
,"n v
сущ. гл.","няҡҡ лукка́на
ˌnæqː luˈkːana",to handshake,"давать салам, приветствовать","~ беккара
~ беччив",
,"v cls
гл. кл.","няҡҡу́й бурца́ра
næˌqːuj burˈtsara",to take care of an animal,ухаживать за животным,"~ буцара
~ буцив",
,"n
сущ.","няҡҡу́кьал
næˈqːukʼal",glove,перчатка,няҡҡукьле,
,"v cls
гл. кл.","няҡҡу́цци бурца́ра
næˌqːutsːi burˈtsara",to control,контролировать,"~ буцара
~ буцив",
,"n
сущ.","нялби́кк
nælˈbikː",saucer,блюдце,"нялбиккан
нялбикке",
,"n
сущ.","няъдалла́ь
næʔdalˈlah",proof,доказательство,,
,"n
сущ.","ня́ъна
ˈnæʔna",curse,проклятие,,
,"adj
прил.","няь
ˈnæh",weak-willed,слабохарактерный,,
,"v cls
гл. кл.","няь кабира́ра
ˌnæh kabiˈrara",to humiliate,унижать,"~ кабарара
~ кабарив",
,"adj
прил.","няья́ҡь
næˈhæqʼ",meaningless,"пустой, бессмысленный",,
п,,,,,,
,"n
сущ.","пади́с
paˈdis",batiste,батист,,
,"n
сущ.","пай
ˈpaj",share,доля,пайре,
,"n
сущ.","па́йда
ˈpajda",profit,выгода,,
,"adj
прил.","пайть
ˈpajtʼ",neglected,безнадзорный,,
,"n
сущ.","пак
ˈpak",sausage,колбаса,пакре,
,"n
сущ.","паки́т
paˈkit",pastic bag,пакет,паките,
,"n
сущ.","паҡьи́р
paˈqʼir",poor fellow,бедолага,паҡьирте,
,"n
сущ.","пал
ˈpal",divination,гадание,,
,"n
сущ.","пала́н
paˈlan",plan,план,паланте,
,"n
сущ.","пала́ш
paˈlaʃ",cape,плащ,палаше,
,"adj
прил.","палка́т
palˈkat",derelict,заброшенный,,
,"n
сущ.","палта́р
palˈtar",apparel,наряд,,
,"n
сущ.","палта́рла устта́
palˌtarla usˈtːa",tailor,портной,,
,"n
сущ.","палту́м
palˈtum",coat,пальто,палтумте,
,"n
сущ.","палттну́й
paltːˈnuj",staple cloth,штапельная ткань,,
,"v cls
гл. кл.","палть бикьо́ра
ˌpaltʼ biˈkʼora",to drag,волочиться,,
,"n
сущ.","палху́м
palˈχum",balcony,балкон,палхумте,
,"n
сущ.","палча́
palˈtʃa",unrefined chaff,неочищенная мякина,палчан-,
,"n
сущ.","палчи́
palˈtʃi",fortune-teller,гадалщик,палчибе,
,"n
сущ.","палчи́н
palˈtʃin",nail head,шляпка гвоздя,палчинте,
,"n
сущ.","памаду́р
pamaˈdur",tomato,помидор,памадурте,
,"n
сущ.","памази́
pamaˈzi",flannel,фланель,,
,"adj
прил.","пана́
paˈna",decaying,тленный,,
,"n
сущ.","пана́р
paˈnar",flashlight,фонарь,панарте,
,"n
сущ.","папру́с
papˈrus",cigarette,сигарета,папрусе,
,"v cls
гл. кл.","пар бирга́ра
ˌpar birˈgara",to dissipate,рассеиваться (о сыпучих),"~ бигара
~ бижив",
,"v cls
гл. кл.","пар кабирга́ра
ˌpar kirˈgara",to spread out,расстелаться,"~ кабигара
~ кабижив",
,"v cls
гл. кл.","пар ьабаҳа́ра
ˌpar habaˈxara",to steam,париться,,
,"v
гл.","пар ьарга́ра
ˌpar harˈgara",to evaporate,испаряться,"~ ьагара
~ ьагур",
,"adj n
прил. сущ.","парға́т
parˈʁat",calm,спокойствие,,
,"v cls
гл. кл.","парға́т кабирьо́ра
parˌʁat kabirˈhora",to pass away,упокоиться,"~ кабиьора
~ кабиьяв",
,"n
сущ.","парда́в
parˈdav","veil
membrane","вуаль
плёнка",пардавте,
,"n
сущ.","пари́за
paˈriza",fard,фард,,
,"n
сущ.","парпису́р
parpiˈsur",professor,профессор,парписурте,
,"adj
прил.","парстту́й
parsˈtːuj",ordinary,обычный,,
,"n
сущ.","парх
ˈparχ",swing,взмах,,
,"n
сущ.","парха́л
parˈχal",hessian,циновка,"пархле-
пархлиппе",
,"n
сущ.","парху́ть
parˈχutʼ",steamship,пароход,пархутье,
,"n
сущ.","парцци́нт
parˈtsːint",percent,процент,парццинте,
,"v cls
гл. кл.","парш бирга́ра
ˌparʃ birˈgara",to crumble,"раскрошиться, распасться","~ бигара
~ бижив",
,"n
сущ.","паршу́кк
parˈʃukː",powder,порошок,паршукке,
,"v cls
гл. кл.","пас кабикьо́ра
ˌpas kabiˈkʼora",to snow,идти снегу,,
,"adj
прил.","паса́т
paˈsat",squalid,запущенный,,
,"adj
прил.","паси́ь
paˈsih",sage,мудрый,,
,"n
сущ.","патиья́
patiˈhæ",fatiha,фатиха,,
,"n
сущ.","патта́
paˈtːa",butt,задница,"паттан
паттне",
,"n
сущ.","паттаху́с
patːaˈχus",sloppy person,неряшливый человек,паттахусе,
,"n
сущ.","патьра́н
patʼˈran",cartridge,патрон,патьранте,
,"n
сущ.","пахде́ҳ
paχˈdex",vanity,чщеславие,,
,"n
сущ.","па́хру
ˈpaχru","suspicion
anticipation","подозрение
предвкушение",,
,"adj
прил.","паҳ
ˈpax",friable,рыхлый,,
,"v cls
гл. кл.","паҳ кабирцца́ра
ˌpaχ kabirˈtsːara",to be conceited,зазнаваться,"~ кабиццара
~ кабиццур",
,"n
сущ.","пачали́ҡҡ
patʃaˈliqː",state,государство,пачалиҡҡе,
,"n
сущ.","паччя́ь
paˈtʃːæh",sovereign,повелитель,паччяье,
